id,nome,categoria,bairro,zona,lat,lon,anomalia_c,area_m2,criticidade,obs_pt,obs_en
pt02,Mercado Adolpho Lisboa,ponto_turistico,Centro,Sul,-3.1357,-60.0241,4.4,2500,5,Telhado metálico antigo.,Old metal roof.
pt03,Praça São Sebastião,ponto_turistico,Centro,Sul,-3.1303,-60.0238,4.3,2000,4,Calor radiante das pedras.,Radiant heat from stones.
pt04,Largo de São Sebastião,ponto_turistico,Centro,Sul,-3.1308,-60.0240,4.3,1500,4,Sob o sol direto.,Direct sunlight.
pt05,Encontro das Águas,ponto_turistico,Centro,Sul,-3.1330,-59.9560,2.0,0,3,Saída pelo porto.,Departure from port.
pt06,Praia da Ponta Negra,ponto_turistico,Ponta Negra,Oeste,-3.0830,-60.1100,2.5,5000,5,Areia a 60 °C em set/out.,Sand at 60 °C in Sep/Oct.
pt07,Palácio Rio Negro,ponto_turistico,Centro,Sul,-3.1313,-60.0240,4.3,1800,4,Arquitetura colonial.,Colonial architecture.
pt08,Palacete Provincial,ponto_turistico,Centro,Sul,-3.1325,-60.0249,4.3,1500,3,Praça da Polícia.,Police Square.
pt09,Museu da Amazônia MUSA,ponto_turistico,Cidade de Deus,Norte,-2.9610,-59.9290,1.0,3000,2,Reserva Adolpho Ducke; refúgio fresco.,Adolpho Ducke Reserve; cool refuge.
pt10,Bosque da Ciência INPA,ponto_turistico,Petrópolis,Sul,-3.0950,-59.9900,1.5,4000,2,Refúgio fresco urbano.,Urban cool refuge.
pt11,Jardim Botânico Adolpho Ducke,ponto_turistico,Cidade de Deus,Norte,-2.9590,-59.9270,0.5,5000,1,Maior reserva urbana do mundo.,World's largest urban reserve.
pt12,Centro Cultural dos Povos da Amazônia,ponto_turistico,Centro,Sul,-3.1320,-60.0230,4.3,2500,4,Espaço cultural do governo.,State cultural venue.
pt13,Memorial Pedro Teixeira,ponto_turistico,Centro,Sul,-3.1330,-60.0240,4.3,1500,3,Marco histórico.,Historic landmark.
pt14,Vila Olímpica de Manaus,ponto_turistico,Compensa,Oeste,-3.0950,-60.0850,3.8,8000,4,Quadras esportivas expostas.,Exposed sports courts.
pt15,Arena da Amazônia,ponto_turistico,Flores,Centro-Sul,-3.0834,-60.0270,3.6,15000,5,Arquibancada coberta a 38 °C em jogos diurnos.,Covered seating at 38 °C in day games.
pt16,Sambódromo de Manaus,ponto_turistico,Aleixo,Centro-Sul,-3.0860,-59.9810,3.6,8000,4,Concreto exposto.,Exposed concrete.
pt17,Catedral Metropolitana,ponto_turistico,Centro,Sul,-3.1342,-60.0244,4.3,2000,4,Praça da Matriz.,Cathedral Square.
pt18,Igreja de São Sebastião,ponto_turistico,Centro,Sul,-3.1303,-60.0238,4.3,1500,4,Praça São Sebastião.,Saint Sebastian Square.
pt19,Studio 5 Centro de Convenções,ponto_turistico,Distrito Industrial 1,Sul,-3.1280,-59.9810,4.6,8000,5,Entorno crítico.,Critical surroundings.
pt20,Centro de Convenções Vasco Vasques,ponto_turistico,Flores,Centro-Sul,-3.0700,-60.0050,3.4,7000,3,Eventos anuais.,Annual events.
pt21,Marina do Davi,ponto_turistico,Tarumã,Oeste,-3.0570,-60.0700,3.0,3000,2,Embarcações na orla.,Boats on the waterfront.
mil01,CMA Comando Militar da Amazônia,militar_exercito,São Jorge,Sul,-3.1180,-60.0440,3.5,8000,4,Sede do maior comando do EB.,Largest Brazilian Army command HQ.
mil02,12ª Região Militar,militar_exercito,São Jorge,Sul,-3.1180,-60.0440,3.5,5000,4,Av. do Exército.,Army Avenue.
mil03,1ª Brigada de Infantaria de Selva,militar_exercito,São Jorge,Sul,-3.1170,-60.0440,3.5,4500,4,Brigada de operações na selva.,Jungle operations brigade.
mil04,CIGS Centro de Instrução de Guerra na Selva,militar_exercito,São Jorge,Sul,-3.1170,-60.0440,3.5,7000,5,Treinamentos extremos sob sol.,Extreme training under sun.
mil05,4º Centro de Telemática de Área,militar_exercito,Compensa,Oeste,-3.0950,-60.0830,3.8,3500,3,Comunicações.,Communications.
mil06,Hospital Militar de Área de Manaus,militar_exercito,São Jorge,Sul,-3.1180,-60.0440,3.5,4000,4,Hospital militar.,Military hospital.
mil07,12º Depósito de Suprimento,militar_exercito,São Jorge,Sul,-3.1170,-60.0450,3.5,4500,3,Depósito de suprimento.,Supply depot.
mil08,2º Grupamento de Engenharia,militar_exercito,São Jorge,Sul,-3.1180,-60.0450,3.5,4000,3,Engenharia militar.,Military engineering.
mil09,Base Aérea de Manaus BAMN,militar_fab,Tarumã,Oeste,-3.0386,-60.0497,3.4,15000,5,Pista de pouso a 65 °C em set/2024.,Runway at 65 °C in Sep/2024.
mil10,VII Comando Aéreo Regional,militar_fab,Distrito Industrial,Sul,-3.1450,-59.9860,4.0,8000,4,Ponta Pelada.,Ponta Pelada.
mil11,Aeroporto Ponta Pelada,militar_fab,Distrito Industrial,Sul,-3.1450,-59.9860,4.0,12000,5,Compartilhado civil/militar.,Civil/military shared.
mil12,CINDACTA IV,militar_fab,Tarumã,Oeste,-3.0386,-60.0497,3.4,5000,4,Controle aéreo amazônico.,Amazonian air control.
mil13,Esquadrão Arara 1º/9º GAv,militar_fab,Tarumã,Oeste,-3.0386,-60.0497,3.4,5000,4,C-105 Amazonas.,C-105 Amazonas.
mil14,Esquadrão Carajás,militar_fab,Tarumã,Oeste,-3.0386,-60.0497,3.4,4000,4,C-98 Caravan.,C-98 Caravan.
mil15,Comando 9º Distrito Naval,militar_marinha,São Raimundo,Oeste,-3.1320,-60.0260,3.5,5000,4,Marinha do Brasil.,Brazilian Navy.
mil16,Capitania Fluvial de Manaus,militar_marinha,São Raimundo,Oeste,-3.1300,-60.0240,3.5,3000,3,Capitania portuária.,Port captaincy.
mil17,Base Fluvial de Rio Negro,militar_marinha,São Raimundo,Oeste,-3.1310,-60.0250,3.5,4000,4,Base fluvial.,Riverine base.
mil18,Companhia de Fuzileiros Navais,militar_marinha,São Raimundo,Oeste,-3.1310,-60.0260,3.5,4500,4,Fuzileiros navais.,Marines.
mil19,Batalhão de Operações Ribeirinhas,militar_marinha,São Raimundo,Oeste,-3.1300,-60.0260,3.5,3500,3,Operações ribeirinhas.,Riverine operations.
mil20,Centro de Instrução Almirante Alexandrino,militar_marinha,São Raimundo,Oeste,-3.1310,-60.0260,3.5,4000,4,Treinamento de fuzileiros.,Marine training.
pm01,Comando Geral PM-AM,militar_pm,Cachoeirinha,Sul,-3.1200,-60.0030,4.4,4000,4,Sede da Polícia Militar.,Military Police HQ.
pm02,Centro Treinamento PM CFAP,militar_pm,Flores,Centro-Sul,-3.0700,-60.0070,3.4,5000,3,Formação de oficiais.,Officer training.
pm03,Academia Polícia Civil,militar_pm,Cachoeirinha,Sul,-3.1200,-60.0030,4.4,3500,3,Formação policial civil.,Civil police academy.
pm04,CIOPS,militar_pm,São Raimundo,Oeste,-3.1310,-60.0250,3.5,3500,3,Centro Integrado de Operações.,Integrated Ops Center.
pm05,1º BPM,militar_pm,Centro,Sul,-3.1320,-60.0230,4.3,2500,3,Batalhão da PM.,Military Police battalion.
pm06,BOPE-AM,militar_pm,Compensa,Oeste,-3.0950,-60.0830,3.8,2500,3,Batalhão de Operações Especiais.,Special Operations Battalion.
pq01,Parque Estadual Sumaúma,parque,Cidade Nova,Norte,-3.0270,-60.0080,-1.5,0,1,53 ha de mata. Refúgio fresco.,53 ha forest. Cool refuge.
pq02,Parque do Mindu,parque,Parque 10,Centro-Sul,-3.0950,-60.0050,-2.2,0,1,Refúgio em meio a Centro-Sul.,Cool refuge in Center-South.
pq03,Parque dos Bilhares,parque,Adrianópolis,Centro-Sul,-3.0950,-60.0190,3.0,0,3,Pista de skate a 55 °C.,Skate park at 55 °C.
pq04,Parque do Idoso,parque,Aleixo,Centro-Sul,-3.0830,-59.9870,-1.0,0,1,Sombreado.,Shaded.
pq05,Parque Cidade da Criança,parque,Aleixo,Centro-Sul,-3.0840,-59.9880,2.5,0,3,Pátio externo crítico.,Critical outer courtyard.
pq06,Parque Senador Jefferson Péres,parque,Centro,Sul,-3.1330,-60.0250,4.3,0,4,Sem sombra na orla.,No waterfront shade.
pq07,Parque dos Buritis,parque,Tarumã,Oeste,-3.0570,-60.0680,1.0,0,2,Vegetação abundante.,Abundant vegetation.
pq08,Parque Lagoa do Japiim,parque,Japiim,Sul,-3.1180,-59.9890,3.5,0,3,Em obras.,Under construction.
pq09,Reserva Adolpho Ducke,parque,Cidade de Deus,Norte,-2.9610,-59.9290,0.0,0,1,Referência climática.,Climatic baseline.
pq10,Parque Estadual do Rio Negro,parque,Tarumã,Oeste,-3.0570,-60.0700,0.5,0,1,Setor Sul; preservado.,South Sector; preserved.
pr01,Praça da Saudade,praca,Centro,Sul,-3.1330,-60.0240,4.3,0,4,Brinquedos infantis quentes ao toque.,Hot playground equipment.
pr02,Praça da Polícia,praca,Centro,Sul,-3.1325,-60.0249,4.3,0,4,Pedras portuguesas escaldantes.,Burning cobblestones.
pr03,Praça 14 de Janeiro,praca,Praça 14,Sul,-3.1230,-60.0150,3.9,0,4,Brinquedos sem cobertura.,Uncovered playground.
pr04,Praça da Matriz,praca,Centro,Sul,-3.1342,-60.0244,4.3,0,4,Frente da Catedral.,Cathedral front.
pr05,Praça do Ingá,praca,Cidade Nova,Norte,-3.0270,-60.0090,3.8,0,3,Praça residencial.,Residential square.
pr06,Mirante Lúcia Almeida,praca,Aleixo,Centro-Sul,-3.0830,-59.9870,3.5,0,4,Lago do Aleixo - sol direto.,Aleixo Lake - direct sun.
pr07,Largo do São Sebastião,praca,Centro,Sul,-3.1308,-60.0240,4.3,0,4,Frente do Teatro Amazonas.,Amazon Theatre front.
ig01,Catedral da Fé Universal,igreja,Alvorada,Centro-Oeste,-3.0830,-60.0445,4.7,3500,4,Estacionamento crítico.,Critical parking.
ig02,Igreja Matriz N.S. da Conceição,igreja,Centro,Sul,-3.1342,-60.0244,4.3,2000,4,Catedral Metropolitana.,Metropolitan Cathedral.
ig03,Igreja Matriz São Raimundo Nonato,igreja,São Raimundo,Oeste,-3.1090,-60.0510,3.7,1800,3,Pátio histórico.,Historic courtyard.
ig04,Casa das Artes,igreja,Centro,Sul,-3.1320,-60.0230,4.3,1500,3,Espaço cultural ecumênico.,Ecumenical cultural space.
ig05,Igreja Universal Catedral da Fé,igreja,Alvorada,Centro-Oeste,-3.0830,-60.0445,4.7,3000,4,Pátio sob sol.,Yard under sun.
es01_dist,Saída BR-174 km 0-25,estrada,Cidade Nova/Tarumã,Norte,-3.0150,-60.0270,4.0,0,5,Asfalto a 60 °C; saída para Boa Vista.,Asphalt at 60 °C; exit to Boa Vista.
es02_dist,Saída AM-010 km 0-30,estrada,Cidade Nova/Puraquequara,Norte,-3.0260,-59.9700,4.0,0,5,Saída para Itacoatiara.,Exit to Itacoatiara.
es03_dist,Saída BR-319 km 0,estrada,Distrito Industrial,Sul,-3.1500,-59.9700,4.5,0,5,Asfalto exposto até 70 °C; saída para Porto Velho.,Asphalt up to 70 °C; exit to Porto Velho.
es04_dist,Saída AM-070 Ponte Rio Negro,estrada,Compensa,Oeste,-3.1100,-60.0900,4.0,0,5,Asfalto da ponte a 65 °C.,Bridge asphalt at 65 °C.
es05_dist,Ramal do Brasileirinho,estrada,Puraquequara,Sul,-3.0600,-59.8800,3.5,0,3,Terra batida; poeira.,Dirt road; dust.
ri01,Encontro das Águas,rio_orla,Educandos,Sul,-3.1330,-59.9560,2.0,0,3,Encontro Negro/Solimões.,Negro/Solimões meeting.
ri02,Igarapé do Mindu,rio_orla,Parque 10,Centro-Sul,-3.0950,-60.0050,2.0,0,2,Vetor de fresco.,Cooling corridor.
ri03,Igarapé do Quarenta,rio_orla,Educandos/DI,Sul,-3.1330,-60.0050,4.5,0,5,Canalizado e poluído.,Channelized and polluted.
ri04,Igarapé do São Raimundo,rio_orla,São Raimundo,Oeste,-3.1080,-60.0510,3.5,0,3,Antigo balneário.,Former bathing area.
ri05,Igarapé do Educandos,rio_orla,Educandos,Sul,-3.1430,-60.0200,3.5,0,4,Margens densamente ocupadas.,Densely occupied banks.
ri06,Igarapé do Tarumã,rio_orla,Tarumã,Oeste,-3.0570,-60.0680,1.0,0,1,Parcialmente preservado.,Partially preserved.
ri07,Lago do Aleixo,rio_orla,Aleixo,Centro-Sul,-3.0830,-59.9870,2.5,0,2,Balneário comunitário.,Community bathing.
es15,IFAM Manaus Centro,universidade,Centro,Sul,-3.1340,-60.0250,4.3,4000,4,Instituto Federal.,Federal Institute.
